specid,ra,dec,plate,mjd,fiberid,z,zErr,snMedian_r,d4000_n,d4000_n_err
177,167.06995,0.40516129,278,51900,423,0.3744542,0.000093599,8.002074,1.84477,0.06885349
178,167.27052,1.0749129,278,51900,444,0.3878622,9.464737E-005,5.891891,1.666241,0.08021959
179,167.26544,0.62177954,278,51900,472,0.3553883,9.413122E-005,6.075177,1.878039,0.1024585
180,167.25765,0.73930281,278,51900,478,0.335254,8.046622E-005,7.701642,1.774963,0.07498129
181,167.41668,0.76014445,278,51900,492,0.3319663,6.651636E-005,9.938695,1.9572,0.06597927
182,167.52032,0.98742685,278,51900,521,0.35097,8.610726E-005,5.844898,2.009811,0.1319288
183,167.80118,0.87137235,278,51900,579,0.356093,8.760377E-005,7.898466,1.754991,0.0694747
184,168.03487,0.98678579,278,51900,617,0.3390232,8.32589E-005,9.368761,1.772426,0.06122135
185,168.25194,0.46773989,278,51900,630,0.3145204,6.679663E-005,11.10737,2.130001,0.07589871
186,169.28284,-1.0559116,279,51984,44,0.3337134,7.004372E-005,8.002214,2.152171,0.1092069
187,169.63661,-0.68510716,279,51984,58,0.3647324,0.0001088067,7.370402,1.834475,0.07058745
188,169.78519,-0.54774593,279,51984,74,0.3644915,6.500214E-005,10.38034,1.928824,0.05669914
189,169.32092,-0.074788482,279,51984,160,0.3485597,6.924281E-005,9.247724,1.914168,0.06575733
190,168.79366,-0.3648818,279,51984,182,0.346086,8.902464E-005,6.380632,2.107959,0.1102072
191,168.0884,1.1035212,279,51984,327,0.3552406,8.861943E-005,7.014837,1.846698,0.08256005
192,167.87208,0.65692885,279,51984,334,0.3557079,6.850265E-005,7.278921,1.861571,0.0771431
193,169.00326,1.1774942,279,51984,450,0.3562523,7.091312E-005,13.47491,1.939064,0.04593507
194,169.42206,1.1024633,279,51984,522,0.3566165,9.067447E-005,8.263652,1.991912,0.08132531
195,169.15228,1.2568134,279,51984,523,0.3565406,9.944639E-005,8.273904,1.877533,0.07578296
196,171.66423,-0.34547146,280,51612,25,0.334242,6.93667E-005,9.73984,2.018686,0.07380432
197,171.65844,-0.30543799,280,51612,26,0.3307756,6.808163E-005,9.610285,1.809768,0.06635797
198,170.88252,-0.61126994,280,51612,55,0.3604921,7.130418E-005,10.46918,1.869337,0.06121513
199,171.66098,-0.36165208,280,51612,64,0.3342077,6.487552E-005,10.05606,2.151285,0.08937492
200,171.41612,0.19874554,280,51612,72,0.4022752,0.0001062596,6.648075,1.979125,0.09107739
201,170.55435,-0.91366815,280,51612,85,0.3552101,8.630014E-005,6.013966,1.956319,0.1090423
202,171.09197,-0.10965735,280,51612,102,0.3595366,9.804525E-005,8.758653,1.942004,0.07761686
203,170.81174,-0.12477694,280,51612,150,0.3613369,7.127849E-005,9.322057,1.787569,0.06502902
204,170.69137,-0.262321,280,51612,163,0.3149457,6.407245E-005,12.19006,1.790733,0.04727367
205,170.66019,0.40719706,280,51612,491,0.3569357,6.613122E-005,10.28095,2.006174,0.06606334
206,170.9634,0.71347227,280,51612,542,0.3347733,6.406761E-005,9.324317,1.854556,0.06623419
207,171.80243,0.4780247,280,51612,632,0.3498065,0.000102622,6.922648,1.773492,0.08934673
208,171.84811,0.38218818,280,51612,637,0.3491699,0.0001068452,6.965421,1.775143,0.08055969
209,172.77115,-0.77393259,281,51614,16,0.3266578,8.301772E-005,8.413681,2.013205,0.09697425
210,173.30264,0.030399748,281,51614,33,0.3531419,0.0001227081,6.645704,1.619349,0.0927953
211,172.91847,-0.36626035,281,51614,62,0.3272747,6.962054E-005,9.639128,2.209718,0.09162749
212,172.40518,-0.55059137,281,51614,109,0.3573199,8.155248E-005,7.829018,1.790769,0.07042623
213,171.9704,-0.4384755,281,51614,172,0.3321812,7.003863E-005,9.494999,2.218976,0.09958734
214,171.34544,0.12094725,281,51614,237,0.3555657,9.438225E-005,8.780758,1.723735,0.059799
215,170.76701,0.19640843,281,51614,386,0.3571139,7.211919E-005,9.062679,2.226517,0.08674853
216,171.61218,1.1673159,281,51614,449,0.3524946,9.45542E-005,5.583424,1.872086,0.09912832
217,172.26739,1.1197631,281,51614,522,0.3494766,5.954425E-005,11.32542,1.846595,0.04753142
218,172.28737,1.1888153,281,51614,529,0.3503243,0.000059364,9.25898,1.80074,0.05802204
219,172.3421,0.99299109,281,51614,536,0.3505439,8.407587E-005,8.331368,1.957137,0.07584314
220,172.20914,0.83061491,281,51614,539,0.3450179,5.602788E-005,10.53567,1.730714,0.04779301
